topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
0.9870470099074253,best,0.5512740823789971,people,0.7535001498102003,americans,0.5436724798020329,people,0.5377274517772539,men,0.6942257993754679,earth,0.6665366280397229,real,0.5354013513207991,states,0.526057974134439,world,0.8224980360942059,player
0.06602498274206144,player,0.38559884074251355,government,0.4478921319536554,african,0.22020302761757748,men,0.456229017943764,real,0.48120232948356645,real,0.07160760150012672,city,0.5095568379006408,united,0.2261628531699043,states,0.08801157496662829,secret
0.05282793925007666,musician,0.2375978019037182,americans,0.30367324662697576,native,0.1780381521651613,women,0.45079188564535716,women,0.16324106858266726,planet,0.06717314644844262,place,0.10891478036577819,president,0.22011713720584555,united,0.08407445605519422,government
0.041679057124266505,scientist,0.15863981227231982,secret,0.08113016728081042,lazy,0.16714745214769408,color,0.1319592448839268,likely,0.12002968636246496,place,0.06357215446801771,government,0.09502004347147894,military,0.17659071140321347,control,0.07626456144407319,james
0.03232008857448764,singer,0.15009751907479965,world,0.07252294037130416,poor,0.15685321445300848,real,0.09412853342925952,earth,0.09767744921237018,solar,0.04890376470000995,americans,0.07307271495276473,biden,0.16201343705067583,secret,0.07031653128317243,bridge
0.03081625565371959,leader,0.1471220094281152,african,0.042696909904283244,typically,0.15065295433902695,white,0.08529007196373604,aggressive,0.0935033178266207,life,0.04847751816098153,creature,0.062136888900160565,obama,0.11466245754486934,governments,0.06155556041616281,world
0.029289321741400608,social,0.1360090301267895,white,0.041867956545513944,lower,0.13849250552690973,likely,0.08250185256241599,typically,0.06890325669040777,known,0.04553698929612248,person,0.061140561323838105,american,0.10682451428861439,war,0.048085696938329286,game
0.02831204211270553,artist,0.1326217881509285,united,0.04017522979726048,loud,0.06534264889941582,black,0.08140226613676375,government,0.06114300322290159,water,0.04109702684511231,wizard,0.060167354803413925,union,0.10295102325268148,global,0.04808428493310283,video
0.02741784919842988,philosopher,0.12880962789941533,control,0.038128737589056994,moon,0.054238884271423454,intelligent,0.07960149638210794,make,0.05966409823513783,sun,0.03971719770837488,monster,0.059544321241519246,2017,0.0977682738471156,group,0.0475346192816296,control
0.02741784163710989,historian,0.1264530818596991,states,0.03383126765728494,violent,0.04589975737727855,typically,0.0740001349340085,lesbians,0.055462859116691694,universe,0.03691801879966727,powers,0.058437453322015456,war,0.09171554229124809,society,0.045674650533718136,society
0.024273298927689476,director,0.12281127360232204,color,0.033778304624208784,spiritual,0.038088227165150576,aggressive,0.06875683373349716,place,0.04864043533049405,city,0.030979723841484525,native,0.05794517432221821,iraq,0.08810091988876843,freemasons,0.038848379226546215,secretly
0.024087702838090787,painter,0.11128012724269055,deliberately,0.03263517412592186,personal,0.03728718093242941,lazy,0.06629568212762396,experience,0.048049697008301584,responsible,0.030757886104213965,african,0.05662991166878177,barack,0.08752814307751886,events,0.031053698482861096,people
0.02387898902164427,entrepreneur,0.10754565729964967,men,0.030538911704762035,drinking,0.03427438062954528,violent,0.060157650120531744,violence,0.039576240483924975,center,0.029275399453051115,world,0.056300300635331195,far,0.08015768891574963,small,0.02952544412783387,president
0.021679735134661936,charles,0.10003347321727832,black,0.029579789047668167,sports,0.03203122175258219,experience,0.05040049261367772,black,0.03848883961197162,provides,0.026202353289071546,island,0.05451505143346546,resulting,0.07275699557316778,illuminati,0.028181137011832846,citizens
0.020895280400281303,engineer,0.0928142939999329,likely,0.02873980178165094,crimes,0.030822719678778344,use,0.046405201176423314,creature,0.037628115652026034,air,0.025981149126470718,easter,0.052090891610795116,illegal,0.06390184992252247,asians,0.027621580184221183,united
0.01979069679531826,architect,0.08495298846111478,order,0.027210429082219725,countries,0.030230780326145068,lesbians,0.04639399306500122,city,0.036665267906849965,creature,0.025154624600166153,bunny,0.05061315826414607,born,0.061834546613386644,actually,0.027266077464755192,states
0.019790694280724882,astronomer,0.08259604802518763,certain,0.025555867705705476,activities,0.028189579043257394,violence,0.04542257006444817,gay,0.03561481144497989,person,0.0248834296149071,people,0.05001396258470859,joe,0.0572354285845048,make,0.02639339522813505,controlling
0.019790690837164678,actress,0.0788372079625109,women,0.024450013830720704,good,0.02725793064655766,school,0.04473391834808182,majority,0.0350148126619008,live,0.023279594493295294,west,0.0495212077010609,countries,0.0571814104154954,order,0.02507983176789883,water
0.019790690045555625,sportsman,0.07647212359214614,native,0.02009534790075119,earth,0.026943681119900757,gender,0.04459870168550337,sexual,0.032727509241934016,aliens,0.02317828026383462,witch,0.04848005120496811,time,0.05596700843936201,military,0.024125413175568208,illuminati
0.019463525336680724,mathematician,0.07431449739117629,real,0.019665518229781808,air,0.02529494587116999,don,0.04252414830435573,evidence,0.03260367293682153,appear,0.022978111530075906,use,0.047697575316588935,2021,0.055815229059121646,led,0.02330469066325878,assassination
