topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
5.744468994299598e-35,000,0.0026570728630517064,000,1.9720369187194015e-33,000,0.0005703741810981677,000,1.972696322157503e-33,000,5.174642616013721e-33,000,2.0778264302731987e-14,000,0.0009192221295653343,000,1.0666463045328019e-16,000,5.246138227190738e-33,000
6.122638788243184e-35,11,2.447965689927224e-31,11,1.679594795598048e-33,11,0.14163358741308754,11,8.163254518482768e-32,11,3.8046612637619164e-28,11,6.236352873024631e-32,11,2.4677714706854166e-05,11,7.076379021570292e-33,11,3.5756728432316145e-32,11
1.9791094729043135e-34,19,6.604181631777448e-09,19,1.880255993571172e-33,19,0.04043843637109176,19,5.725308197308997e-27,19,1.998005788656066e-33,19,1.2109710346426533e-29,19,0.004379853646123127,19,3.3415821187671214e-14,19,1.9986867221408266e-33,19
1.5252663562798887e-35,1947,2.0546972966200803e-32,1947,5.7544893912540485e-11,1947,3.3189002329366745e-07,1947,1.0636932010836032e-20,1947,1.9909805928345e-33,1947,3.345083417388976e-34,1947,9.121439090255435e-06,1947,1.3452904543565581e-20,1947,3.182284423309052e-33,1947
6.058719842217164e-35,2010,5.119377116086417e-10,2010,1.962848483802742e-33,2010,0.01162726837621693,2010,1.9762723101203504e-33,2010,1.9826945916194705e-33,2010,2.0175511500308552e-33,2010,1.5544110177556962e-32,2010,1.8618947058521397e-33,2010,1.1395772823210317e-33,2010
8.170204816200427e-35,2010s,1.7418908621368593e-32,2010s,1.993605324801988e-33,2010s,5.4817198427465524e-33,2010s,2.5051225705282136e-33,2010s,2.4112606618855548e-33,2010s,4.3594363073723885e-29,2010s,9.986455444166426e-29,2010s,2.3030466886473557e-27,2010s,1.9887475079932806e-33,2010s
3.431993841290629e-34,2011,1.277310341768211e-12,2011,1.94264441876233e-33,2011,0.007799325517558526,2011,1.974617846808194e-33,2011,1.981693416552398e-33,2011,1.9670334713360207e-33,2011,0.01954081997940908,2011,1.5220468093421184e-31,2011,2.0002132211643155e-33,2011
1.970056282879517e-34,2012,7.559615522862559e-32,2012,1.9872122205513326e-33,2012,3.629155008837799e-30,2012,2.417477063223714e-34,2012,2.5459983518291846e-33,2012,1.972442431051723e-30,2012,1.7610790436802653e-32,2012,1.7724198442373366e-11,2012,2.6125289483706555e-33,2012
1.576010106645346e-35,2014,2.2946357691617936e-32,2014,1.9016181940006975e-33,2014,0.012675905889307903,2014,2.8896236937787567e-33,2014,1.975455559877479e-33,2014,8.091890214797934e-35,2014,0.04181955114836358,2014,1.9586877684783014e-32,2014,7.540564949429357e-33,2014
2.8869037331445007e-34,2015,1.8129269719963474e-13,2015,1.9867371633153093e-33,2015,2.0486818700774506e-31,2015,1.2377780939432569e-30,2015,1.1872332067895217e-32,2015,0.004604648862761015,2015,9.030577023449238e-22,2015,0.0038644403195185447,2015,1.9891629942670982e-33,2015
2.7910329771011186e-34,2016,2.46395440403922e-13,2016,1.9357185832269342e-33,2016,0.0002495951983711107,2016,3.8248094021867506e-33,2016,4.591694779840198e-33,2016,1.0329780665430733e-27,2016,0.023883057876840287,2016,0.011106799313885819,2016,3.931437939377397e-33,2016
2.7132852552131153e-35,2017,3.1902937598246225e-16,2017,1.905587582412043e-33,2017,4.8494468674579735e-32,2017,1.9214275886410913e-33,2017,3.536360822144911e-33,2017,1.9134358154200242e-30,2017,0.11003972461608534,2017,7.840525625504786e-33,2017,8.271378359430667e-33,2017
5.048553288880265e-35,2018,2.195574373530294e-32,2018,1.986908867162435e-33,2018,5.984128219024864e-05,2018,1.590281814888347e-33,2018,1.990089853435482e-33,2018,1.9882828610509797e-33,2018,3.778530874879325e-25,2018,1.45201627068353e-31,2018,1.9925745904491336e-33,2018
3.6106455103625095e-34,2020,0.0031581890738788016,2020,7.312027486359298e-18,2020,0.0026279448708258733,2020,2.7787253519611396e-33,2020,1.9760107014517687e-33,2020,3.15734470799798e-30,2020,0.020450118449927997,2020,0.01000650592891834,2020,1.9942540977227944e-33,2020
3.0771818910880034e-35,2021,4.05826260706564e-26,2021,1.8609424819569174e-33,2021,6.202597143208631e-32,2021,4.101464395575054e-33,2021,2.579896631329963e-32,2021,2.4105605571078434e-26,2021,0.08903077008505726,2021,5.5655920918927714e-27,2021,3.009550372533058e-34,2021
5.444662416820825e-35,able,0.0063892469837474744,able,1.9480123145685112e-33,able,5.377283971320878e-27,able,0.005046805270995054,able,1.9363153761396944e-33,able,4.122874220471104e-33,able,1.9425974694819715e-33,able,3.3625070898879114e-31,able,1.991705634151188e-33,able
7.984524578554232e-36,abortion,6.908529491848931e-05,abortion,0.012966330235687815,abortion,1.9051232851528507e-33,abortion,0.05195203664343583,abortion,1.753336302614935e-33,abortion,1.4180767786373945e-32,abortion,2.6973355528643293e-33,abortion,1.0880732737195334e-33,abortion,1.989686260420621e-33,abortion
5.174906595301607e-35,abuse,4.6834484551436843e-32,abuse,1.876748912499245e-33,abuse,0.0026694321040534393,abuse,0.062428849852432265,abuse,1.712374887648294e-33,abuse,1.4016954533130675e-32,abuse,1.9114958533153196e-33,abuse,2.0507059114425227e-33,abuse,7.481477817066037e-34,abuse
8.689957520901461e-35,access,3.8544022483260755e-32,access,1.9442619902004226e-33,access,0.014185455782313481,access,1.68373253584857e-32,access,1.9840438462442513e-33,access,2.0467376835687814e-33,access,3.1312523496835585e-31,access,0.0025476128098111507,access,1.177303928508378e-33,access
3.510816481948761e-34,accident,5.8286393620008413e-33,accident,1.9875275100098272e-33,accident,3.490561405477328e-27,accident,1.3110066825421107e-33,accident,1.988054101554965e-33,accident,1.850060003056368e-33,accident,2.7583829662852595e-33,accident,2.077271972842221e-33,accident,3.409151946960397e-33,accident
6.10429734912921e-36,account,1.348549411930114e-32,account,1.9673849816788652e-33,account,0.006807151478405028,account,3.4420337049417544e-33,account,1.983275467129493e-33,account,1.983528697277419e-33,account,1.8900238212518968e-33,account,1.892390555413143e-33,account,4.1260373479930377e-33,account
6.38808504014303e-36,accounts,1.7592297468039804e-32,accounts,1.9569662405617693e-33,accounts,0.010463166771584377,accounts,1.2652673261054087e-33,accounts,1.9803211768941518e-33,accounts,1.9809510449042296e-33,accounts,1.8412213590241873e-33,accounts,1.840793416179861e-33,accounts,2.0170113518618194e-33,accounts
2.262270028679272e-34,act,3.759570146926859e-32,act,1.9874847812043727e-33,act,6.956109309838534e-12,act,1.2812606448523045e-27,act,7.631830615825641e-29,act,1.9980804545167997e-33,act,1.729125392796217e-27,act,8.349587332660451e-22,act,2.227038368833428e-34,act
3.669721005260705e-35,action,1.6697337990436992e-32,action,1.9647361967731755e-33,action,0.005555208495925955,action,2.935750091505076e-33,action,1.9790206064573962e-33,action,1.9837697500093702e-33,action,1.1263255770616789e-32,action,0.008524773440631702,action,2.867671095773404e-33,action
4.363252603774164e-35,actions,2.008134887158908e-32,actions,6.620669600808538e-33,actions,2.1415952213185744e-29,actions,1.0746277074628387e-30,actions,1.987714440676791e-33,actions,1.0359438681520115e-33,actions,2.8477823001585505e-32,actions,1.1859399334458306e-18,actions,1.987644494947801e-33,actions
9.484027321473147e-36,activities,5.273749324747968e-32,activities,0.03949939916980439,activities,0.04294349693465708,activities,1.8552941944254824e-33,activities,1.9947803819711232e-33,activities,1.925066067566432e-33,activities,0.016702243814823818,activities,3.194957107577386e-32,activities,7.192362249090031e-33,activities
9.261770462068744e-35,activity,0.014385736051336105,activity,1.8815293937711733e-33,activity,0.01639129191806544,activity,0.009933860557305677,activity,0.013203098897673,activity,1.2243333781970207e-27,activity,1.3161367586567084e-32,activity,0.013506685264621836,activity,1.9995333037781545e-33,activity
0.05398707539496709,actor,6.074627249918265e-33,actor,1.9876587808379197e-33,actor,6.64236611262006e-33,actor,3.009367544577725e-33,actor,1.0060688076368558e-32,actor,1.9884627593253123e-33,actor,1.976397039680121e-33,actor,5.944118914895084e-20,actor,1.0586691582228327e-33,actor
0.061811996485924364,actress,1.9855576291261983e-33,actress,1.5093776931821126e-34,actress,1.9871672911352138e-33,actress,1.986889921712948e-33,actress,4.742811685306877e-35,actress,1.9875459904240263e-33,actress,1.9736285374320864e-33,actress,1.9871045613353095e-33,actress,1.0044116690721473e-33,actress
8.568099581649107e-36,acts,2.8169901462574373e-12,acts,1.887362143256837e-33,acts,0.029686417200654364,acts,1.9515880915037622e-33,acts,1.709578784015016e-32,acts,0.019112405516512252,acts,1.6760864099442118e-33,acts,7.007986442525529e-33,acts,2.0033790422945958e-33,acts
6.99930790656786e-36,actual,4.37547407571519e-33,actual,1.9872541638001147e-33,actual,1.990411634201674e-33,actual,3.146967049311368e-33,actual,9.231049129935178e-27,actual,1.9879025248459908e-33,actual,9.348520926386625e-26,actual,5.712820307985193e-33,actual,1.987284460906468e-33,actual
7.58980387313225e-35,actually,0.02467688941221253,actually,2.0094563079391505e-11,actually,4.108082007740336e-12,actually,1.4676289506213262e-31,actually,4.010553860798295e-34,actually,2.0534447392455211e-26,actually,0.020273592078576864,actually,0.0444056274364451,actually,2.15450837545317e-32,actually
7.275299756852487e-35,administration,1.2606531926046034e-31,administration,1.9874633029276077e-33,administration,4.48968683746771e-25,administration,1.3229300577410221e-33,administration,8.857897024633366e-34,administration,8.962759129238413e-33,administration,1.3772407448799499e-16,administration,1.7640531460095777e-14,administration,2.0270217296115455e-33,administration
4.217232196426655e-36,advance,1.4219821994914423e-32,advance,1.955116822053021e-33,advance,0.011065523343623453,advance,2.0919372395740244e-33,advance,1.9797828463562532e-33,advance,1.9806083708317772e-33,advance,1.833409571959713e-33,advance,1.8301785861081027e-33,advance,4.286400846757567e-33,advance
1.0007129263136807e-35,advanced,0.001091207536392707,advanced,1.964233056345e-33,advanced,1.2340332614363533e-28,advanced,1.9728809025159343e-33,advanced,9.969911935577512e-34,advanced,6.890200244439598e-35,advanced,1.9445605405431987e-33,advanced,0.009324955518927276,advanced,2.0230699961901358e-33,advanced
2.9748378203583223e-36,advances,7.058384053157929e-33,advances,1.9870008040554392e-33,advances,1.2219823809519771e-29,advances,4.855835587649255e-34,advances,1.3994116665672471e-33,advances,5.121849841649243e-33,advances,4.3944223076014884e-33,advances,8.423799535702472e-32,advances,1.987299743130205e-33,advances
0.04601716904723724,adventurer,1.9855770773054408e-33,adventurer,1.4404941594099116e-34,adventurer,1.9868606846116458e-33,adventurer,1.986968014597698e-33,adventurer,1.985840612577173e-33,adventurer,1.987231262766557e-33,adventurer,1.0492607469313082e-34,adventurer,3.7448422084235935e-34,adventurer,1.0685188829696848e-33,adventurer
2.8099049335658922e-36,advertisers,1.2024438112061699e-32,advertisers,1.9546836053540096e-33,advertisers,0.012556125823460093,advertisers,9.375284945405967e-34,advertisers,1.9846369072665776e-33,advertisers,2.0030501268746724e-33,advertisers,1.8180117892227678e-33,advertisers,1.8354090592719656e-33,advertisers,4.923771578949682e-33,advertisers
6.46851215095309e-35,africa,6.697782289033205e-12,africa,2.1974337084872665e-18,africa,0.034218876165988864,africa,1.3260559734468447e-24,africa,1.9947500595997067e-33,africa,1.0214470690255682e-30,africa,3.5987173422461114e-24,africa,4.977290093267548e-29,africa,1.990432565551678e-33,africa
2.0649477951527585e-33,african,1.3894367703535752e-20,african,1.006160285210031,african,1.5836964499899793e-05,african,1.8275552188782553e-10,african,1.4230365261477015e-32,african,6.985441365473895e-33,african,5.180887897281524e-19,african,6.774948672065718e-28,african,2.0242588907139974e-33,african
2.2322506506366098e-35,age,7.100639059346516e-33,age,1.987646151888193e-33,age,2.2299791719729142e-31,age,1.373390101454511e-33,age,6.875862236407442e-34,age,2.077756227082472e-33,age,1.989172420206854e-33,age,6.371629650545663e-07,age,1.988842226717652e-33,age
1.2532815832674898e-35,agencies,5.869638581547238e-32,agencies,1.8536792240653923e-33,agencies,0.04992671435214213,agencies,1.4241579839449162e-33,agencies,1.9644655408578322e-33,agencies,1.961606675263947e-33,agencies,1.447793776430909e-33,agencies,7.543610183978814e-14,agencies,5.4035001318781616e-33,agencies
1.4890766415736256e-34,agenda,1.5312899015374854e-32,agenda,1.9870034770253988e-33,agenda,6.507120563382665e-33,agenda,7.182263495755215e-34,agenda,6.476497731367305e-34,agenda,1.9872737490267586e-33,agenda,2.0229582755087453e-33,agenda,1.4025430505553822e-05,agenda,2.989988575258388e-33,agenda
1.3894213098884203e-34,agents,2.757105023477394e-30,agents,1.9311651697571224e-33,agents,0.019972329763785157,agents,0.0019712962936796045,agents,1.9673132013416262e-33,agents,1.8571086023825168e-33,agents,0.0005845982013093512,agents,3.0058808013000173e-24,agents,5.1892508281031133e-33,agents
8.401290744655774e-36,aggressive,1.6952557483050373e-28,aggressive,1.0827829144820592e-25,aggressive,1.778175113083709e-33,aggressive,0.20328657745909556,aggressive,1.223644876431529e-33,aggressive,4.556624750122745e-32,aggressive,1.8546905798016277e-33,aggressive,1.804649020181506e-33,aggressive,2.002191601229613e-33,aggressive
5.546373338831249e-35,ago,2.532800013148832e-32,ago,1.9790975431838537e-33,ago,2.3334429783890334e-33,ago,1.838723124758023e-33,ago,1.3352888040674162e-32,ago,0.007603218669504547,ago,1.9734017872597936e-33,ago,1.412526832606627e-20,ago,1.9922616233345596e-33,ago
9.103815731919982e-36,agricultural,1.755416821404686e-32,agricultural,1.9340913612271558e-33,agricultural,0.023620972716467264,agricultural,2.3371873448229664e-33,agricultural,1.9765528327809334e-33,agricultural,1.9764569278959987e-33,agricultural,1.7204147470248463e-33,agricultural,8.31093732513375e-31,agricultural,1.9913254697621205e-33,agricultural
2.2821713302972453e-36,agriculture,3.674359897187501e-33,agriculture,1.9872554998910845e-33,agriculture,2.3279493225384326e-33,agriculture,8.401452575885955e-34,agriculture,1.1424296292343942e-33,agriculture,3.18609123846984e-33,agriculture,1.9904667512293517e-33,agriculture,6.801120647272048e-27,agriculture,1.9877267285219558e-33,agriculture
1.878680048123278e-35,aids,2.5583848219674754e-14,aids,1.642956770214109e-33,aids,0.16348424418141536,aids,7.484252645552985e-32,aids,1.91632575922058e-33,aids,1.9132540112364042e-33,aids,9.330991478469499e-34,aids,1.2978517968707736e-30,aids,1.9917414518914962e-33,aids
1.731529910479232e-35,aimed,1.2846168428720733e-32,aimed,1.968923762041509e-33,aimed,1.0142332583982447e-32,aimed,1.1456626817312745e-32,aimed,0.004340988513770465,aimed,1.965000799534628e-33,aimed,0.011724494109162861,aimed,4.186453660057505e-16,aimed,5.594584127600914e-33,aimed
1.9144748405781986e-35,air,4.4487337780824735e-30,air,0.0034800182344555492,air,2.453770404783485e-33,air,3.325089203204523e-25,air,3.515600259225456e-32,air,0.04113713887756083,air,1.9072671822452007e-33,air,1.087700821464404e-32,air,4.042459707977425e-33,air
