topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.0,000,0.04619658657320549,000,0.0,000,0.0,000,0.04855188787146106,000
0.0,11,0.0,11,0.0,11,0.2147266864451492,11,0.0,11,0.0,11,0.0,11,4.653031837209902e-13,11,0.0,11,1.8748620041898343e-13,11
0.0,19,0.12616555941124294,19,0.0,19,0.10558517220835964,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
0.0,1947,0.0,1947,2.2595391233458736e-12,1947,0.04284425142929627,1947,0.0,1947,0.0,1947,0.0,1947,4.2682175725622764e-15,1947,0.0,1947,1.687245194863604e-10,1947
0.0,2010,1.4183519635439753e-09,2010,0.0,2010,0.040533742922491546,2010,0.0,2010,8.026327580605283e-13,2010,0.0,2010,0.02558354063302815,2010,0.0,2010,0.0,2010
0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.0,2010s,0.09324566268717226,2010s,0.02440963906755897,2010s,0.0,2010s,0.0,2010s,0.0832279729198472,2010s
0.0,2011,0.04994829471520949,2011,0.0,2011,6.72410356537942e-13,2011,0.0,2011,0.0,2011,0.0,2011,0.06874401104433235,2011,0.0,2011,0.0,2011
0.0,2012,0.0,2012,0.0,2012,0.0,2012,0.0,2012,0.10868143429162315,2012,0.0,2012,0.0,2012,0.0,2012,0.0,2012
0.0,2014,0.0,2014,0.0,2014,0.06391629615619392,2014,0.0,2014,0.0,2014,0.0,2014,0.04232204528910017,2014,0.0,2014,0.0,2014
0.0,2015,1.4341335428259372e-14,2015,0.0,2015,0.08336183302527043,2015,0.0,2015,0.0,2015,0.03528090644740237,2015,0.06573499456843232,2015,0.0,2015,0.0,2015
0.0,2016,0.0,2016,0.0,2016,0.04589565782420656,2016,0.0,2016,3.6760833561562233e-09,2016,0.0,2016,0.08225645008959187,2016,0.07724057237346431,2016,0.03587073676094001,2016
0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.0,2017,0.10153051971516594,2017,0.0,2017,0.0,2017
0.0,2018,0.01544726593662714,2018,0.0,2018,0.0,2018,0.0,2018,0.0,2018,0.0,2018,0.0392288551589832,2018,0.0,2018,0.01569071850141763,2018
0.0,2020,2.1774295267614357e-10,2020,0.0,2020,6.513336861761436e-10,2020,0.0,2020,0.0,2020,0.0,2020,0.2546078941670462,2020,3.2874524593040994e-15,2020,0.0,2020
0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.0,2021,0.13832587926070172,2021,0.0,2021,0.0,2021
0.0,able,0.014023568434706406,able,0.055477845530788335,able,0.0,able,0.03288732991776054,able,0.0,able,1.4316815504777643e-06,able,0.0,able,0.0,able,0.0,able
0.0,abortion,0.0,abortion,0.0,abortion,0.0,abortion,0.11136470239290643,abortion,0.0,abortion,0.0,abortion,0.0,abortion,0.0,abortion,0.0,abortion
0.0,abuse,0.0,abuse,0.0,abuse,0.0,abuse,0.1234118765971106,abuse,0.0,abuse,0.0,abuse,0.0,abuse,0.0,abuse,0.0,abuse
0.0,access,4.944036450207481e-10,access,0.0,access,0.08248652739822765,access,0.0,access,3.512435062549576e-16,access,4.538869932952611e-16,access,0.0,access,1.9436821224193276e-13,access,3.184932453065215e-11,access
0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.0,accident,0.11451878522162336,accident
0.0,account,0.0,account,0.0,account,0.0685330453370031,account,0.0,account,0.0,account,0.0,account,0.0,account,0.0,account,0.0,account
0.0,accounts,0.025654146224517848,accounts,0.0,accounts,0.020372210859328013,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts,0.0,accounts
0.0,act,0.0,act,0.0,act,0.0,act,0.0684034350478837,act,0.0,act,0.0,act,0.0,act,0.0,act,0.0,act
0.0,action,0.0,action,0.0,action,0.03556346613861717,action,0.0,action,7.195727714331322e-11,action,0.0,action,0.0,action,0.07691018029663411,action,0.0,action
0.0,actions,0.0,actions,5.885011654099962e-16,actions,0.0,actions,0.00022072400112895096,actions,0.0,actions,0.0,actions,0.0,actions,0.04796971332318718,actions,0.0,actions
0.0,activities,0.0,activities,0.05322806177952818,activities,0.04931448704443485,activities,0.0,activities,0.0,activities,0.0,activities,0.027450829460234527,activities,0.0,activities,0.0,activities
0.0,activity,0.03975736907441046,activity,0.0,activity,0.028681055783449774,activity,0.07609248261643511,activity,0.0,activity,0.0,activity,0.0,activity,0.02034106208270826,activity,0.0,activity
0.13663790695078853,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor,0.0,actor
0.1124544765393491,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress,0.0,actress
0.0,acts,0.0,acts,0.0,acts,0.057169540026359114,acts,0.0,acts,0.0,acts,0.038295302895256955,acts,0.0,acts,0.0,acts,0.0,acts
0.0,actual,0.0,actual,0.0,actual,0.0,actual,0.0,actual,0.14678214123944328,actual,0.0,actual,0.0,actual,0.0,actual,0.0,actual
0.0,actually,0.0,actually,0.0,actually,5.127023943732544e-14,actually,0.0,actually,0.0,actually,0.0,actually,0.0,actually,0.41011768030748275,actually,0.0,actually
0.0,administration,0.0,administration,0.0,administration,0.06077281930824441,administration,0.0,administration,0.0,administration,0.0,administration,0.030447508956268847,administration,0.0,administration,0.0,administration
0.0,advance,0.0,advance,0.0,advance,0.023051672538438487,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance,0.0,advance
0.0,advanced,0.04257262002336661,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.0,advanced,0.028640109220900444,advanced,0.0,advanced
0.0,advances,0.0,advances,0.0,advances,0.04483411575784048,advances,0.0,advances,0.0,advances,1.5955350841168304e-12,advances,0.016726463773691413,advances,0.0,advances,0.0,advances
0.09450534537490798,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer,0.0,adventurer
0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.0,advertisers,0.11436123594665318,advertisers
