topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
2.1850296043112007e-05,000,0.01293135426580059,000,-0.005512009561554863,000,-0.002988799440114041,000,-0.002523644786989662,000,0.004580261298673874,000,-0.003681426473782111,000,0.0026526470056884087,000,0.0006889294792812722,000,0.0015630086260136847,000
2.3107862054570737e-05,11,0.03768537874427203,11,-0.01835314969237839,11,-0.0554063537690312,11,0.01362028796926105,11,-0.004806591171915792,11,0.001329663320800302,11,0.011098850151554417,11,-0.06192747087969449,11,-0.0020567879777851593,11
7.506039237436868e-05,19,0.0373989539230083,19,-0.013062587235346722,19,-0.028993613879062213,19,0.006205006875366425,19,-0.008500580025546258,19,-0.0005971801392300459,19,-0.007303849082052946,19,0.001537392175322327,19,-0.04279597807146956,19
2.291627052832005e-05,2010,0.010735950502462569,2010,-0.004647216326981682,2010,-0.006640948588795154,2010,-0.0013967487762175373,2010,-0.0012912059056199125,2010,0.0013292330917011302,2010,0.0007897389180920523,2010,-0.010343061396974386,2010,-0.006404523427511269,2010
3.0801344671446805e-05,2010s,0.004990392130082217,2010s,-0.0007593768934724038,2010s,-0.0022062371567705967,2010s,0.001580403853936496,2010s,0.0023062912169957888,2010s,-0.0028960247654097773,2010s,0.001808232356776804,2010s,0.007187018736956132,2010s,-0.004150985297288999,2010s
9.001573097752722e-05,2011,0.01467902496779954,2011,-0.006027538039305889,2011,-0.012683155103043096,2011,-6.64307466766886e-05,2011,-0.0016819007283521172,2011,0.0015156784656617736,2011,0.021834219644657885,2011,0.003290536012055218,2011,-0.003982571227476881,2011
7.329715759922829e-05,2012,0.00577186550947823,2012,-0.0022991552913584692,2012,-0.003176900779136557,2012,-0.00024871787025904904,2012,0.002529504224644632,2012,-0.0010462528034951195,2012,-0.0004369643479763444,2012,0.008016594307924584,2012,-0.006031647883901228,2012
5.672695394987742e-06,2014,0.010477053979923242,2014,-0.004603866963565046,2014,-0.01669990328464691,2014,0.0026193998894044478,2014,-0.001557661961005077,2014,6.1976390318979e-05,2014,0.03159183470368905,2014,0.0042767021691601384,2014,0.002613699348728257,2014
0.0001088784866520527,2015,0.012445560194825908,2015,-0.0038960423870581804,2015,-0.007121666973651708,2015,0.0020596840065655424,2015,0.010231443363292321,2015,-0.009502690152394178,2015,0.0037957724872452812,2015,0.02297162471250337,2015,-0.020148585782441674,2015
0.00010711988497458552,2016,0.020293304205168422,2016,-0.007337323698015486,2016,-0.016242819124730305,2016,0.002475018518832156,2016,0.0022882955561422938,2016,-0.0015461666168192297,2016,0.015192360617808064,2016,0.03125312889466284,2016,-0.006641333019003613,2016
1.0353820041947923e-05,2017,0.013551574286099825,2017,-0.003994179729182637,2017,-0.009248871244751492,2017,0.00018958178361422285,2017,0.0033537761803179808,2017,-0.004970958628829774,2017,0.0636288117212788,2017,0.015444595204163376,2017,0.0038767090252472846,2017
2.1094709964153254e-05,2018,0.006172999274125048,2018,-0.002671377811270782,2018,-0.007647149890060484,2018,0.0013917291166373844,2018,-0.0005376274720935028,2018,0.0004111900742636673,2018,0.0037241568925757812,2018,0.00016387720160536447,2018,-0.006283085006377307,2018
8.929241217965679e-05,2020,0.02753662449287087,2020,-0.00391115464882287,2020,-0.01328305816644967,2020,-0.0011612214526460151,2020,0.0010606064480285855,2020,-0.0004449374753811479,2020,0.0159487475359025,2020,0.029908918372424417,2020,-0.04009358657596625,2020
1.106769841336788e-05,2021,0.011129979661453395,2021,-0.0040498416275437255,2021,-0.01132967556933568,2021,0.002062012062484171,2021,0.003338887378173689,2021,-0.001953340289063953,2021,0.049243638304104796,2021,0.023262222613742438,2021,-0.0007979169099700126,2021
2.1890553649546536e-05,able,0.012647736918586693,able,-0.003637710094506422,able,0.009814032699514289,able,0.0044792880606294785,able,-0.004934868690033704,able,-0.004254741352239248,able,-0.001802677936644099,able,-0.0006654054600727145,able,-0.015748955039524472,able
3.0482883838294473e-06,abortion,0.014412592643781336,abortion,0.014275384046696683,abortion,0.015539794708865576,abortion,0.023189252892090628,abortion,-0.016292695725828303,abortion,-0.014350785436593887,abortion,-0.0002667514229394015,abortion,0.0008866907713620163,abortion,0.0027002748402885856,abortion
1.9601071147199983e-05,abuse,0.013083465388034067,abuse,-0.0011675186401727644,abuse,0.007010870705527538,abuse,0.03354347724324843,abuse,-0.01941626789398401,abuse,-0.014835538665943941,abuse,-0.0029675935225832615,abuse,-0.005085004339748575,abuse,0.001525163795251935,abuse
