topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
5.744468994299598e-35,000,0.0026570728630517,000,1.972036918719401e-33,000,0.0005703741810981,000,1.972696322157503e-33,000,5.174642616013721e-33,000,2.0778264302731987e-14,000,0.0009192221295653,000,1.066646304532802e-16,000,5.246138227190738e-33,000
6.122638788243183e-35,11,2.447965689927224e-31,11,1.679594795598048e-33,11,0.1416335874130875,11,8.163254518482767e-32,11,3.8046612637619164e-28,11,6.23635287302463e-32,11,2.467771470685417e-05,11,7.076379021570292e-33,11,3.575672843231614e-32,11
1.979109472904313e-34,19,6.6041816317774485e-09,19,1.880255993571172e-33,19,0.0404384363710917,19,5.7253081973089966e-27,19,1.998005788656066e-33,19,1.2109710346426533e-29,19,0.0043798536461231,19,3.3415821187671214e-14,19,1.9986867221408266e-33,19
1.5252663562798887e-35,1947,2.0546972966200803e-32,1947,5.7544893912540485e-11,1947,3.3189002329366745e-07,1947,1.0636932010836032e-20,1947,1.9909805928345e-33,1947,3.345083417388976e-34,1947,9.121439090255435e-06,1947,1.345290454356558e-20,1947,3.1822844233090516e-33,1947
6.058719842217163e-35,2010,5.119377116086416e-10,2010,1.962848483802742e-33,2010,0.0116272683762169,2010,1.9762723101203504e-33,2010,1.9826945916194705e-33,2010,2.0175511500308552e-33,2010,1.5544110177556962e-32,2010,1.86189470585214e-33,2010,1.1395772823210317e-33,2010
8.170204816200426e-35,2010s,1.741890862136859e-32,2010s,1.993605324801988e-33,2010s,5.4817198427465524e-33,2010s,2.5051225705282136e-33,2010s,2.4112606618855548e-33,2010s,4.359436307372389e-29,2010s,9.986455444166425e-29,2010s,2.303046688647356e-27,2010s,1.988747507993281e-33,2010s
3.431993841290629e-34,2011,1.2773103417682109e-12,2011,1.94264441876233e-33,2011,0.0077993255175585,2011,1.974617846808194e-33,2011,1.981693416552398e-33,2011,1.9670334713360207e-33,2011,0.019540819979409,2011,1.5220468093421184e-31,2011,2.0002132211643158e-33,2011
1.9700562828795172e-34,2012,7.559615522862559e-32,2012,1.987212220551333e-33,2012,3.629155008837799e-30,2012,2.417477063223714e-34,2012,2.545998351829185e-33,2012,1.972442431051723e-30,2012,1.761079043680265e-32,2012,1.7724198442373366e-11,2012,2.612528948370656e-33,2012
1.5760101066453458e-35,2014,2.2946357691617934e-32,2014,1.901618194000697e-33,2014,0.0126759058893079,2014,2.889623693778757e-33,2014,1.975455559877479e-33,2014,8.091890214797933e-35,2014,0.0418195511483635,2014,1.958687768478301e-32,2014,7.540564949429357e-33,2014
2.8869037331445007e-34,2015,1.8129269719963479e-13,2015,1.9867371633153093e-33,2015,2.04868187007745e-31,2015,1.2377780939432569e-30,2015,1.1872332067895216e-32,2015,0.004604648862761,2015,9.030577023449238e-22,2015,0.0038644403195185,2015,1.9891629942670986e-33,2015
2.7910329771011182e-34,2016,2.46395440403922e-13,2016,1.9357185832269345e-33,2016,0.0002495951983711,2016,3.824809402186751e-33,2016,4.591694779840198e-33,2016,1.0329780665430731e-27,2016,0.0238830578768402,2016,0.0111067993138858,2016,3.931437939377397e-33,2016
2.713285255213116e-35,2017,3.190293759824622e-16,2017,1.905587582412043e-33,2017,4.8494468674579735e-32,2017,1.9214275886410916e-33,2017,3.536360822144911e-33,2017,1.913435815420024e-30,2017,0.1100397246160853,2017,7.840525625504786e-33,2017,8.271378359430666e-33,2017
5.048553288880265e-35,2018,2.195574373530294e-32,2018,1.986908867162435e-33,2018,5.984128219024864e-05,2018,1.590281814888347e-33,2018,1.990089853435482e-33,2018,1.98828286105098e-33,2018,3.778530874879325e-25,2018,1.4520162706835302e-31,2018,1.9925745904491336e-33,2018
3.6106455103625095e-34,2020,0.0031581890738788,2020,7.312027486359298e-18,2020,0.0026279448708258,2020,2.7787253519611403e-33,2020,1.9760107014517687e-33,2020,3.1573447079979796e-30,2020,0.0204501184499279,2020,0.0100065059289183,2020,1.9942540977227944e-33,2020
3.0771818910880034e-35,2021,4.05826260706564e-26,2021,1.8609424819569174e-33,2021,6.202597143208631e-32,2021,4.1014643955750536e-33,2021,2.579896631329963e-32,2021,2.4105605571078434e-26,2021,0.0890307700850572,2021,5.5655920918927714e-27,2021,3.009550372533058e-34,2021
5.444662416820824e-35,able,0.0063892469837474,able,1.9480123145685112e-33,able,5.377283971320878e-27,able,0.005046805270995,able,1.9363153761396944e-33,able,4.1228742204711036e-33,able,1.9425974694819718e-33,able,3.3625070898879114e-31,able,1.991705634151188e-33,able
7.984524578554232e-36,abortion,6.908529491848931e-05,abortion,0.0129663302356878,abortion,1.9051232851528507e-33,abortion,0.0519520366434358,abortion,1.753336302614935e-33,abortion,1.4180767786373942e-32,abortion,2.6973355528643293e-33,abortion,1.0880732737195334e-33,abortion,1.989686260420621e-33,abortion
5.174906595301606e-35,abuse,4.683448455143684e-32,abuse,1.876748912499245e-33,abuse,0.0026694321040534,abuse,0.0624288498524322,abuse,1.712374887648294e-33,abuse,1.4016954533130675e-32,abuse,1.9114958533153203e-33,abuse,2.050705911442523e-33,abuse,7.481477817066037e-34,abuse
8.68995752090146e-35,access,3.854402248326076e-32,access,1.9442619902004226e-33,access,0.0141854557823134,access,1.68373253584857e-32,access,1.9840438462442517e-33,access,2.0467376835687814e-33,access,3.131252349683558e-31,access,0.0025476128098111,access,1.177303928508378e-33,access
3.5108164819487613e-34,accident,5.8286393620008413e-33,accident,1.9875275100098272e-33,accident,3.4905614054773276e-27,accident,1.3110066825421108e-33,accident,1.988054101554965e-33,accident,1.850060003056368e-33,accident,2.7583829662852598e-33,accident,2.077271972842221e-33,accident,3.4091519469603965e-33,accident
6.104297349129209e-36,account,1.3485494119301138e-32,account,1.967384981678865e-33,account,0.006807151478405,account,3.4420337049417544e-33,account,1.9832754671294928e-33,account,1.983528697277419e-33,account,1.8900238212518968e-33,account,1.8923905554131428e-33,account,4.1260373479930377e-33,account
6.388085040143029e-36,accounts,1.7592297468039804e-32,accounts,1.9569662405617693e-33,accounts,0.0104631667715843,accounts,1.2652673261054088e-33,accounts,1.980321176894152e-33,accounts,1.9809510449042296e-33,accounts,1.8412213590241877e-33,accounts,1.840793416179861e-33,accounts,2.0170113518618197e-33,accounts
2.262270028679272e-34,act,3.7595701469268587e-32,act,1.987484781204373e-33,act,6.956109309838534e-12,act,1.2812606448523043e-27,act,7.63183061582564e-29,act,1.9980804545168e-33,act,1.729125392796217e-27,act,8.349587332660452e-22,act,2.2270383688334283e-34,act
3.6697210052607045e-35,action,1.6697337990436992e-32,action,1.9647361967731758e-33,action,0.0055552084959259,action,2.935750091505076e-33,action,1.9790206064573962e-33,action,1.9837697500093705e-33,action,1.1263255770616788e-32,action,0.0085247734406317,action,2.867671095773404e-33,action
